order_id,delay_days
a2b4be96b53022618030c17ed437604d,41
b062c88d0db22ff6a4e37c2df0f85333,41
0855f6a946e8c4bef27d0ac24e524554,41
71717b68820ab37f844d6799422804d7,41
465cfd7016202e455adf9b1a83736c86,41
4aaf9b9778e313ecfcfe11ba5673b136,41
00e054d0da011d5016f31011af488f4f,41
e10c65499c59e57eea4d979ac5eb3d0f,41
265bb549f8bbcaeaa66023404ec02db5,41
5622ad01924109b081d3f0f7fdd45f71,41
5738b1361143b2ba3e59fcb5dffc7114,41
73e675969b9e5495c9d1c8d4b3b21e1e,41
880a2443009447fa88b518da4806fc93,40
42eac028466118a879151bd1ad4c2acd,40
9e7b4dc19aadc8298e2984986d3bf014,40
0bc2f31a926a812c0002115befdfdebe,40
7cb72e0bbd081c1483fb0b200266b7d3,40
576668497bf1dc1ca572fcf231234444,40
2fe3cac4410271c6297a141898af28f0,40
16efc11ccab2e8a17656020f80cd39e3,40
89aaf44e5c7771fbdeacb9baa428988b,40
1e189a60261c3efb60bdace6d37ac223,40
b4c8c7add8acbdb1bebcae219ab6c141,39
fd9fd21af695ddc1b8200a18954f7b73,39
cc61a8a634ed495116b2ce1fc8d1a1e1,39
3e47a8cc66024053901d7313a7d2a0b7,39
514b4450547a198b2000fe570c522277,39
44e578be804a15b9c4be4b6e91eedf48,39
acbf78375e415ab56c0f6160901b6167,38
4af2fb154881f350d8696f7f7a7f80d3,38
dd1e6c3ec773916f8f48f7401beefc6a,38
189ba95d81c72d1250e45df72f8acaa4,38
f93bdede82a36c75fddda9a509f2298b,38
0f016423033058b7bef153a01ff9100b,38
238652e39c5fdf89a8fd44776f532501,38
d38cfff41619a58ae9fb4bb3be5cdfa6,38
28bbae6599b09d39ca406b747b6632b1,38
d573a47c29466bb2e4e46aef0ff04f23,38
83c72ea1f298ffb69588da1e76ad9bcc,37
698b8ecdaf8c15fe44343352cff74210,37
a7b6379e7ca83fc534678ad86108cff7,37
ac403e440819af1853b7fcd7f04de6c4,37
f916cacb752116d552d42759c8da0cca,37
93aa3771306828f17309cce989a90e5f,37
f79166d484b12d995cc47ff0fd43db75,37
30ee51f86a9d676801e824efd4aad215,37
bcaa9390e85fe694eefdf1e33f77b3b5,37
f24bbebc2c8ba687b65f1be751dd8982,36
b3fc7c7b9879880f51caa2db7de52834,36
7d09831e67caa193da82cfea3bee7aa5,36
a0d699e2e7598ef4a849c8089f3c1277,36
27167c20a18a136683606cb93c0168a9,36
bfbd0f9bdef84302105ad712db648a6c,36
c1875eb040541568d58640849b68b052,36
621f567448cbf2281b22381247c491ca,36
86c533ce44691f0e2aacdbba0442170a,36
b6bf0977a04c2f3b84bf63aa0d308b5e,36
c537dcd8b3ea902501cfa7610144a641,36
6674020dce60ac29b7de0ffa6d2c34e6,36
6d81c04e1888cf43b0ec0f83b5efe746,36
4382b7af38e2034ff26273519819f2d2,36
23fbdff7118cf3f2b0f4eb5b74f6ee2f,36
77b08f3ea310719320856c7ff77da30a,36
a4a57f1ffa25b90dea9f150fee89db84,35
32fef9bb0f0402350b640eb6f13dbe09,35
0822275bffed889280029c0c32b003e6,35
db72d4b9dccc8768cb8691e888ae7f5f,35
f813be1cdc38407e8e55a3ff18509b8d,35
